z,x,y,file,status,lat_min,lon_min,lat_max,lon_max
19,82529,181259,tiles_z19_v2/82529_181259.jpg,OK,48.45288728338135,-123.33183288574219,48.453342689132114,-123.33114624023438
19,82529,181260,tiles_z19_v2/82529_181260.jpg,OK,48.45243187354598,-123.33183288574219,48.45288728338135,-123.33114624023438
19,82529,181261,tiles_z19_v2/82529_181261.jpg,OK,48.451976459625996,-123.33183288574219,48.45243187354598,-123.33114624023438
19,82529,181262,tiles_z19_v2/82529_181262.jpg,OK,48.45152104162138,-123.33183288574219,48.451976459625996,-123.33114624023438
19,82529,181263,tiles_z19_v2/82529_181263.jpg,OK,48.451065619532145,-123.33183288574219,48.45152104162138,-123.33114624023438
19,82529,181264,tiles_z19_v2/82529_181264.jpg,OK,48.450610193358266,-123.33183288574219,48.451065619532145,-123.33114624023438
19,82529,181265,tiles_z19_v2/82529_181265.jpg,OK,48.45015476309973,-123.33183288574219,48.450610193358266,-123.33114624023438
19,82530,181259,tiles_z19_v2/82530_181259.jpg,OK,48.45288728338135,-123.33114624023438,48.453342689132114,-123.33045959472656
19,82530,181260,tiles_z19_v2/82530_181260.jpg,OK,48.45243187354598,-123.33114624023438,48.45288728338135,-123.33045959472656
19,82530,181261,tiles_z19_v2/82530_181261.jpg,OK,48.451976459625996,-123.33114624023438,48.45243187354598,-123.33045959472656
19,82530,181262,tiles_z19_v2/82530_181262.jpg,OK,48.45152104162138,-123.33114624023438,48.451976459625996,-123.33045959472656
19,82530,181263,tiles_z19_v2/82530_181263.jpg,OK,48.451065619532145,-123.33114624023438,48.45152104162138,-123.33045959472656
19,82530,181264,tiles_z19_v2/82530_181264.jpg,OK,48.450610193358266,-123.33114624023438,48.451065619532145,-123.33045959472656
19,82530,181265,tiles_z19_v2/82530_181265.jpg,OK,48.45015476309973,-123.33114624023438,48.450610193358266,-123.33045959472656
19,82531,181259,tiles_z19_v2/82531_181259.jpg,OK,48.45288728338135,-123.33045959472656,48.453342689132114,-123.32977294921875
19,82531,181260,tiles_z19_v2/82531_181260.jpg,OK,48.45243187354598,-123.33045959472656,48.45288728338135,-123.32977294921875
19,82531,181261,tiles_z19_v2/82531_181261.jpg,OK,48.451976459625996,-123.33045959472656,48.45243187354598,-123.32977294921875
19,82531,181262,tiles_z19_v2/82531_181262.jpg,OK,48.45152104162138,-123.33045959472656,48.451976459625996,-123.32977294921875
19,82531,181263,tiles_z19_v2/82531_181263.jpg,OK,48.451065619532145,-123.33045959472656,48.45152104162138,-123.32977294921875
19,82531,181264,tiles_z19_v2/82531_181264.jpg,OK,48.450610193358266,-123.33045959472656,48.451065619532145,-123.32977294921875
19,82531,181265,tiles_z19_v2/82531_181265.jpg,OK,48.45015476309973,-123.33045959472656,48.450610193358266,-123.32977294921875
19,82532,181259,tiles_z19_v2/82532_181259.jpg,OK,48.45288728338135,-123.32977294921875,48.453342689132114,-123.32908630371094
19,82532,181260,tiles_z19_v2/82532_181260.jpg,OK,48.45243187354598,-123.32977294921875,48.45288728338135,-123.32908630371094
19,82532,181261,tiles_z19_v2/82532_181261.jpg,OK,48.451976459625996,-123.32977294921875,48.45243187354598,-123.32908630371094
19,82532,181262,tiles_z19_v2/82532_181262.jpg,OK,48.45152104162138,-123.32977294921875,48.451976459625996,-123.32908630371094
19,82532,181263,tiles_z19_v2/82532_181263.jpg,OK,48.451065619532145,-123.32977294921875,48.45152104162138,-123.32908630371094
19,82532,181264,tiles_z19_v2/82532_181264.jpg,OK,48.450610193358266,-123.32977294921875,48.451065619532145,-123.32908630371094
19,82532,181265,tiles_z19_v2/82532_181265.jpg,OK,48.45015476309973,-123.32977294921875,48.450610193358266,-123.32908630371094
19,82533,181259,tiles_z19_v2/82533_181259.jpg,OK,48.45288728338135,-123.32908630371094,48.453342689132114,-123.32839965820312
19,82533,181260,tiles_z19_v2/82533_181260.jpg,OK,48.45243187354598,-123.32908630371094,48.45288728338135,-123.32839965820312
19,82533,181261,tiles_z19_v2/82533_181261.jpg,OK,48.451976459625996,-123.32908630371094,48.45243187354598,-123.32839965820312
19,82533,181262,tiles_z19_v2/82533_181262.jpg,OK,48.45152104162138,-123.32908630371094,48.451976459625996,-123.32839965820312
19,82533,181263,tiles_z19_v2/82533_181263.jpg,OK,48.451065619532145,-123.32908630371094,48.45152104162138,-123.32839965820312
19,82533,181264,tiles_z19_v2/82533_181264.jpg,OK,48.450610193358266,-123.32908630371094,48.451065619532145,-123.32839965820312
19,82533,181265,tiles_z19_v2/82533_181265.jpg,OK,48.45015476309973,-123.32908630371094,48.450610193358266,-123.32839965820312
19,82534,181259,tiles_z19_v2/82534_181259.jpg,OK,48.45288728338135,-123.32839965820312,48.453342689132114,-123.32771301269531
19,82534,181260,tiles_z19_v2/82534_181260.jpg,OK,48.45243187354598,-123.32839965820312,48.45288728338135,-123.32771301269531
19,82534,181261,tiles_z19_v2/82534_181261.jpg,OK,48.451976459625996,-123.32839965820312,48.45243187354598,-123.32771301269531
19,82534,181262,tiles_z19_v2/82534_181262.jpg,OK,48.45152104162138,-123.32839965820312,48.451976459625996,-123.32771301269531
19,82534,181263,tiles_z19_v2/82534_181263.jpg,OK,48.451065619532145,-123.32839965820312,48.45152104162138,-123.32771301269531
19,82534,181264,tiles_z19_v2/82534_181264.jpg,OK,48.450610193358266,-123.32839965820312,48.451065619532145,-123.32771301269531
19,82534,181265,tiles_z19_v2/82534_181265.jpg,OK,48.45015476309973,-123.32839965820312,48.450610193358266,-123.32771301269531
19,82535,181259,tiles_z19_v2/82535_181259.jpg,OK,48.45288728338135,-123.32771301269531,48.453342689132114,-123.3270263671875
19,82535,181260,tiles_z19_v2/82535_181260.jpg,OK,48.45243187354598,-123.32771301269531,48.45288728338135,-123.3270263671875
19,82535,181261,tiles_z19_v2/82535_181261.jpg,OK,48.451976459625996,-123.32771301269531,48.45243187354598,-123.3270263671875
19,82535,181262,tiles_z19_v2/82535_181262.jpg,OK,48.45152104162138,-123.32771301269531,48.451976459625996,-123.3270263671875
19,82535,181263,tiles_z19_v2/82535_181263.jpg,OK,48.451065619532145,-123.32771301269531,48.45152104162138,-123.3270263671875
19,82535,181264,tiles_z19_v2/82535_181264.jpg,OK,48.450610193358266,-123.32771301269531,48.451065619532145,-123.3270263671875
19,82535,181265,tiles_z19_v2/82535_181265.jpg,OK,48.45015476309973,-123.32771301269531,48.450610193358266,-123.3270263671875
19,82536,181259,tiles_z19_v2/82536_181259.jpg,OK,48.45288728338135,-123.3270263671875,48.453342689132114,-123.32633972167969
19,82536,181260,tiles_z19_v2/82536_181260.jpg,OK,48.45243187354598,-123.3270263671875,48.45288728338135,-123.32633972167969
19,82536,181261,tiles_z19_v2/82536_181261.jpg,OK,48.451976459625996,-123.3270263671875,48.45243187354598,-123.32633972167969
19,82536,181262,tiles_z19_v2/82536_181262.jpg,OK,48.45152104162138,-123.3270263671875,48.451976459625996,-123.32633972167969
19,82536,181263,tiles_z19_v2/82536_181263.jpg,OK,48.451065619532145,-123.3270263671875,48.45152104162138,-123.32633972167969
19,82536,181264,tiles_z19_v2/82536_181264.jpg,OK,48.450610193358266,-123.3270263671875,48.451065619532145,-123.32633972167969
19,82536,181265,tiles_z19_v2/82536_181265.jpg,OK,48.45015476309973,-123.3270263671875,48.450610193358266,-123.32633972167969
19,82537,181259,tiles_z19_v2/82537_181259.jpg,OK,48.45288728338135,-123.32633972167969,48.453342689132114,-123.32565307617188
19,82537,181260,tiles_z19_v2/82537_181260.jpg,OK,48.45243187354598,-123.32633972167969,48.45288728338135,-123.32565307617188
19,82537,181261,tiles_z19_v2/82537_181261.jpg,OK,48.451976459625996,-123.32633972167969,48.45243187354598,-123.32565307617188
19,82537,181262,tiles_z19_v2/82537_181262.jpg,OK,48.45152104162138,-123.32633972167969,48.451976459625996,-123.32565307617188
19,82537,181263,tiles_z19_v2/82537_181263.jpg,OK,48.451065619532145,-123.32633972167969,48.45152104162138,-123.32565307617188
19,82537,181264,tiles_z19_v2/82537_181264.jpg,OK,48.450610193358266,-123.32633972167969,48.451065619532145,-123.32565307617188
19,82537,181265,tiles_z19_v2/82537_181265.jpg,OK,48.45015476309973,-123.32633972167969,48.450610193358266,-123.32565307617188
19,82538,181259,tiles_z19_v2/82538_181259.jpg,OK,48.45288728338135,-123.32565307617188,48.453342689132114,-123.32496643066406
19,82538,181260,tiles_z19_v2/82538_181260.jpg,OK,48.45243187354598,-123.32565307617188,48.45288728338135,-123.32496643066406
19,82538,181261,tiles_z19_v2/82538_181261.jpg,OK,48.451976459625996,-123.32565307617188,48.45243187354598,-123.32496643066406
19,82538,181262,tiles_z19_v2/82538_181262.jpg,OK,48.45152104162138,-123.32565307617188,48.451976459625996,-123.32496643066406
19,82538,181263,tiles_z19_v2/82538_181263.jpg,OK,48.451065619532145,-123.32565307617188,48.45152104162138,-123.32496643066406
19,82538,181264,tiles_z19_v2/82538_181264.jpg,OK,48.450610193358266,-123.32565307617188,48.451065619532145,-123.32496643066406
19,82538,181265,tiles_z19_v2/82538_181265.jpg,OK,48.45015476309973,-123.32565307617188,48.450610193358266,-123.32496643066406
